w0,wa,level
-0.4053883921345799,-1.8964361823292901,95%
-0.39649900579137054,-1.9352010475726233,95%
-0.38737003795164265,-1.9738322239154842,95%
-0.37803824774687445,-2.012174157245374,95%
-0.3685412110026235,-2.050072458129318,95%
-0.3589171689339389,-2.0873745234856274,95%
-0.34920487416148555,-2.1239301510626425,95%
-0.339443434668418,-2.159592144250193,95%
-0.32967215632633595,-2.19421690478839,95%
-0.3199303846244109,-2.227665010987139,95%
-0.31025734623898904,-2.25980177912808,95%
-0.30069199108160966,-2.2904978057883807,95%
-0.2912728354614592,-2.3196294889026507,95%
-0.28203780699378767,-2.347079525464836,95%
-0.2730240918787885,-2.3727373838660193,95%
-0.26426798516589545,-2.3964997489662005,95%
-0.2558047446064279,-2.4182709381079,95%
-0.24766844868307084,-2.4379632863964495,95%
-0.2398918593878525,-2.455497499695583,95%
-0.23250629030116632,-2.4708029739169355,95%
-0.2255414805030336,-2.48381807931779,95%
-0.21902547482432522,-2.494490408662297,95%
-0.21298451092012566,-2.5027769882469197,95%
-0.20744291361995673,-2.508644450940366,95%
-0.20242299698027394,-2.512069170541254,95%
-0.1979449744336369,-2.513037356912485,95%
-0.19402687739635077,-2.511545111509257,95%
-0.19068448266231683,-2.50759844307713,95%
-0.18793124887545165,-2.5012132434569283,95%
-0.18577826233647815,-2.4924152235939054,95%
-0.18423419236230568,-2.481239810008845,95%
-0.1833052563777503,-2.4677320021479603,95%
-0.1829951948801597,-2.4519461911860105,95%
